tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
SS20-3a_LP-DIR-T-52	SS20-3a_LP-DIR-T	SS20-3a	1.1	329.1	37.0	0	0	0.0	0.0	8	673.0	This study	hargrave 2016-03-08 13:39:10	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.2.109	1.79e-07	1.86e-08	4.58e-08	2.03e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-53	SS20-3a_LP-DIR-T	SS20-3a	2.1	327.7	36.4	0	0	0.0	0.0	9	698.0	This study	hargrave 2016-03-14 10:55:40	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.2.109	1.69e-07	3.73e-08	8.07e-08	1.8e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-54	SS20-3a_LP-DIR-T	SS20-3a	1.1	327.7	35.1	0	0	0.0	0.0	10	723.0	This study	hargrave 2016-03-14 18:57:03	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.2.109	1.55e-07	1.53e-08	3.7e-08	1.74e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-55	SS20-3a_LP-DIR-T	SS20-3a	2.7	330.1	34.0	0	0	0.0	0.0	11	748.0	This study	hargrave 2016-03-15 14:38:00	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-4.2.109	1.38e-07	3.97e-08	8.25e-08	1.59e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-56	SS20-3a_LP-DIR-T	SS20-3a	0.9	329.2	33.9	0	0	0.0	0.0	12	773.0	This study	hargrave 2016-03-25 13:24:36	LT-T-Z:LP-DIR-T	g	56	u	8	273			pmagpy-4.2.109	1.22e-07	1.25e-08	2.37e-08	1.29e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-57	SS20-3a_LP-DIR-T	SS20-3a	1.3	331.7	35.3	0	0	0.0	0.0	13	788.0	This study	hargrave 2016-03-27 12:45:23	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.2.109	1.06e-07	1.22e-08	3e-08	1.3e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-58	SS20-3a_LP-DIR-T	SS20-3a	1.2	328.2	32.9	0	0	0.0	0.0	14	803.0	This study	hargrave 2016-03-28 09:40:12	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.2.109	8.49e-08	9.67e-09	2.27e-08	1.06e-08	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-59	SS20-3a_LP-DIR-T	SS20-3a	1.0	333.9	33.3	0	0	0.0	0.0	15	813.0	This study	hargrave 2016-03-28 19:02:23	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-4.2.109	5.86e-08	8.95e-09	1.22e-08	7.33e-09	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-60	SS20-3a_LP-DIR-T	SS20-3a	2.0	327.0	41.7	0	0	0.0	0.0	16	823.0	This study	hargrave 2016-03-29 16:05:14	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-4.2.109	3.4e-08	5.81e-09	1.72e-08	4.77e-09	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-61	SS20-3a_LP-DIR-T	SS20-3a	1.7	328.6	43.3	0	0	0.0	0.0	17	833.0	This study	hargrave 2016-03-30 13:21:53	LT-T-Z:LP-DIR-T	g	61	u	8	273			pmagpy-4.2.109	2.09e-08	7.73e-09	4.19e-09	3.53e-09	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-62	SS20-3a_LP-DIR-T	SS20-3a	2.8	334.6	32.1	0	0	0.0	0.0	18	843.0	This study	hargrave 2016-04-04 14:58:56	LT-T-Z:LP-DIR-T	g	62	u	8	273			pmagpy-4.2.109	1.44e-08	3.02e-09	9.47e-09	3.57e-09	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-63	SS20-3a_LP-DIR-T	SS20-3a	4.3	359.7	12.8	0	0	0.0	0.0	19	848.0	This study	hargrave 2016-04-05 12:22:27	LT-T-Z:LP-DIR-T	g	63	u	8	273			pmagpy-4.2.109	1.1e-08	1.21e-09	1.18e-08	1.62e-09	SS20-3	SS20	Michipicoten Island
SS20-3a_LP-DIR-T-64	SS20-3a_LP-DIR-T	SS20-3a	4.9	346.4	33.6	0	0	0.0	0.0	20	853.0	This study	hargrave 2016-04-05 20:00:25	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-4.2.109	8.23e-09	4.18e-09	9.51e-09	2.66e-09	SS20-3	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-65	SS20-4a_LP-DIR-T	SS20-4a	2.7	262.4	48.0	0	0	0.0	0.0	0	273.0	This study	hargrave 2016-02-18 11:31:37	LT-NO:LP-DIR-T	g	65	u	8	273			pmagpy-4.2.109	3.17e-07	2.42e-07	7.95e-08	7.03e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-66	SS20-4a_LP-DIR-T	SS20-4a	2.6	262.9	39.7	0	0	0.0	0.0	1	77.0	This study	hargrave 2016-02-21 12:33:05	LT-LT-Z:LP-DIR-T	g	66	u	8	273			pmagpy-4.2.109	2.96e-07	2.21e-07	6.5e-08	6.96e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-67	SS20-4a_LP-DIR-T	SS20-4a	3.5	259.5	35.3	0	0	0.0	0.0	2	373.0	This study	hargrave 2016-02-22 19:49:58	LT-T-Z:LP-DIR-T	g	67	u	8	273			pmagpy-4.2.109	2.68e-07	2.79e-07	5.34e-08	4.52e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-68	SS20-4a_LP-DIR-T	SS20-4a	2.5	260.3	26.0	0	0	0.0	0.0	3	473.0	This study	hargrave 2016-02-23 19:37:14	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-4.2.109	2.23e-07	1.67e-07	4.36e-08	3.25e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-69	SS20-4a_LP-DIR-T	SS20-4a	2.4	256.3	21.7	0	0	0.0	0.0	4	573.0	This study	hargrave 2016-02-27 17:46:16	LT-T-Z:LP-DIR-T	g	69	u	8	273			pmagpy-4.2.109	2.07e-07	1.39e-07	4.72e-08	3.03e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-70	SS20-4a_LP-DIR-T	SS20-4a	2.3	259.8	20.3	0	0	0.0	0.0	5	598.0	This study	hargrave 2016-02-29 19:15:40	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-4.2.109	2.02e-07	1.38e-07	2.51e-08	3.57e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-71	SS20-4a_LP-DIR-T	SS20-4a	2.1	256.7	19.9	0	0	0.0	0.0	6	623.0	This study	hargrave 2016-03-01 17:44:57	LT-T-Z:LP-DIR-T	g	71	u	8	273			pmagpy-4.2.109	1.9e-07	1.14e-07	3.04e-08	3e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-72	SS20-4a_LP-DIR-T	SS20-4a	1.8	259.8	20.1	0	0	0.0	0.0	7	648.0	This study	hargrave 2016-03-07 17:40:19	LT-T-Z:LP-DIR-T	g	72	u	8	273			pmagpy-4.2.109	1.82e-07	9.24e-08	2.33e-08	3.49e-08	SS20-4	SS20	Michipicoten Island
SS20-4a_LP-DIR-T-73	SS20-4a_LP-DIR-T	SS20-4a	3.4	257.1	18.8	0	0	0.0	0.0	8	673.0	This study	hargrave 2016-03-08 13:40:39	LT-T-Z:LP-DIR-T	g	73	u	8	273			pmagpy-4.2.109	1.74e-07	1.71e-07	4.04e-08	3.13e-08	SS20-4	SS20	Michipicoten Island
